variable,description,orig_name,viz,type,notes
anywork,Worked for pay in the last 7 days,anywork,all,binary,
disability,"Disability: anyone with a lot of difficulty or who cannot at all see, hear, remember, and move. Phase 3.5 added self-care & understand.","seeing, hearing, mobility, remembering, selfcare, mobility",all,binary,Change Phase 3.5
expctloss,Will experience loss of employment or income in household in the next 4 weeks,expctloss,all,binary,
gender_id,Current gender identity,genid_describe,all,categorical,start Phase 3.2
orientation,Sexual orientation,sexual_orientation,all,categorical,start Phase 3.2
sex_at_birth,"Sex assigned at birth, on original birth certificate",egenid_birth,all,categorical,start Phase 3.2
lgbt,Census def: sex at birth != current gender OR Gay or Lesbian or Bisexual OR Transgender,"genid_describe, sexual_orientation, egenid_birth",all,categorical,start Phase 3.2
lgbtq,"Same as lgbt, but also positive (==1) if gender == 'None of these' OR sexual orientation %in% c(""Something else"")","genid_describe, sexual_orientation, egenid_birth",all,categorical,start Phase 3.2
wrkloss,"Experienced loss of employment or income in household since March 13, 2020",wrkloss,all,binary,
anxious,"Nervous, axious, or on edge",anxious,behavioral_health,binary,
down,"Felt down, depressed, or hopeless",down,behavioral_health,binary,
interest,Little interest or pleasure in doing things,interest,behavioral_health,binary,
kidbhvr1,In the past 4 weeks did any children in household: feel anxious or clingy?,kidbhvr1,behavioral_health,binary,start Phase 3.5
kidbhvr2,In the past 4 weeks did any children in household: feel sad or depressed?,kidbhvr2,behavioral_health,binary,start Phase 3.5
kidbhvr3,In the past 4 weeks did any children in household: change eating habits?,kidbhvr3,behavioral_health,binary,start Phase 3.5
kidbhvr4,In the past 4 weeks did any children in household: show change in ability to stay focused?,kidbhvr4,behavioral_health,binary,start Phase 3.5
kidbhvr5,In the past 4 weeks did any children in household: show signs of anger?,kidbhvr5,behavioral_health,binary,start Phase 3.5
kidbhvr6,In the past 4 weeks did any children in household: show signs of problematic behavior?,kidbhvr6,behavioral_health,binary,start Phase 3.5
kidbhvr7,"In the past 4 weeks did any children in household: engage in problem behaviors like lying, cheating, stealing, & bullying?",kidbhvr7,behavioral_health,binary,start Phase 3.5
kidbhvr8,In the past 4 weeks did any children in household: complain of pain without a specific medical issue?,kidbhvr8,behavioral_health,binary,start Phase 3.5
kidbhvr9,In the past 4 weeks did any children in household: no children had changes in behavior,kidbhvr9,behavioral_health,binary,start Phase 3.5
mh_notget,"Last 4 weeks, did you need counseling or therapy from a mental health professional but DID NOT GET it for any reason?",mh_notget,behavioral_health,binary,
mh_svcs,"Last 4 weeks, receive counseling/therapy from mental health professional?",mh_svcs,behavioral_health,binary,
phq4anxiety,"PHQ-4 score for worry & anxiety only, total points >= 3",anxious|worry,behavioral_health,binary,
phq4depression,"PHQ-4 score for interest & down only, total points >= 3",interest|down,behavioral_health,binary,
phq4mod_severe,PHQ-4 score of 6-12,anxious|worry|interest|down,behavioral_health,binary,
phq4severe,PHQ-4 score of 9-12,anxious|worry|interest|down,behavioral_health,binary,
phq4total,"PHQ-4 Total score (BUT for last 7 days, not last two weeks)",anxious|worry|interest|down,behavioral_health,continous,
prescript,"Last 4 weeks, take any prescription meds to help with emotions, concentration, behavior, or mental health?",prescript,behavioral_health,binary,
prvntive,"At any time in the last 12 months, did any children in the household miss, delay or skip any PREVENTIVE check-ups because of the coronavirus pandemic?",prvntive,behavioral_health,binary,ended Phase 3.4
prvntwhy1,Reasons children missed or delayed preventive visits: Health care provider’s location was closed due to the coronavirus pandemic,prvntwhy1,behavioral_health,binary,
prvntwhy2,Reasons children missed or delayed preventive visits: Health care provider’s location was open but had limited appointments due to the coronavirus pandemic,prvntwhy2,behavioral_health,binary,
prvntwhy3,"Reasons children missed or delayed preventive visits: Parent, adult caregiver, or child was concerned about going to the health care provider’s location due to the coronavirus pandemic",prvntwhy3,behavioral_health,binary,
prvntwhy4,Reasons children missed or delayed preventive visits: This child no longer had health insurance or had a change in health insurance due to the coronavirus pandemic,prvntwhy4,behavioral_health,binary,
prvntwhy5,Reasons children missed or delayed preventive visits: Someone in the household was ill with the coronavirus,prvntwhy5,behavioral_health,binary,
prvntwhy6,Reasons children missed or delayed preventive visits: Someone in the household had been in contact with someone who was ill with the coronavirus,prvntwhy6,behavioral_health,binary,
prvntwhy7,Reasons children missed or delayed preventive visits: None of the above,prvntwhy7,behavioral_health,binary,
telechld,"At any time in the last 4 weeks, did any children in the household have an appointment with a doctor, nurse, or other health professional by video or by phone?",telechld,behavioral_health,binary,ended Phase 3.5
telehlth,"At any time in the last 4 weeks, did you have an appointment with a doctor, nurse, or other health professional by video or by phone?",telehlth,behavioral_health,binary,ended Phase 3.5
worry,Not being able to stop or control worrying,worry,behavioral_health,binary,
mhlth_need,Children need for mental health treatment,mhlth_need,behavioral_health,categorical,start Phase 3.9
mhlth_get,Children receive mental health treatment,mhlth_get,behavioral_health,categorical,start Phase 3.9
mhlth_satisfd,Satisfaction with childrens' mental health treatment,mhlth_satisfd,behavioral_health,categorical,start Phase 3.9
mhlth_diffclt,Difficulty obtaining children's mental health treatment,mhlth_diffclt,behavioral_health,categorical,start Phase 3.9
chldcare,"At any time in the last 4 weeks, were any children in the household unable to attend daycare or another childcare arrangement because of the coronavirus pandemic?  Please include before school care, after school care, and all other forms of childcare that were unavailable. ",chldcare,education,binary,ended Phase 3.5
chldimpct1,Childcare impact - unpaid leave,chldimpct1,education,binary,ended Phase 3.5
chldimpct2,Childcare impact - used paid leave,chldimpct2,education,binary,ended Phase 3.5
chldimpct3,Childcare impact - cut hours,chldimpct3,education,binary,ended Phase 3.5
chldimpct4,Childcare impact - left job,chldimpct4,education,binary,ended Phase 3.5
chldimpct5,Childcare impact - lost job,chldimpct5,education,binary,ended Phase 3.5
chldimpct6,Childcare impact - did not look for job,chldimpct6,education,binary,ended Phase 3.5
chldimpct7,Childcare impact - supervised children while working,chldimpct7,education,binary,ended Phase 3.5
chldimpct8,Childcare impact - other,chldimpct8,education,binary,ended Phase 3.5
chldimpct9,Childcare impact - None of the above,chldimpct9,education,binary,ended Phase 3.5
comp_family,Computer or digital device provided by someone in the household or the family or is the child's,comp2,education,binary,
comp_other,Computer or digital device provided by another source,comp3,education,binary,
comp_school,Computer or digital device provided by school or school district,comp1,education,binary,
compavail,Computer available for educational purposes,compavail,education,categorical,
compavail.binary,"Computer available for educational purposes (binary: always, usually  vs. never, rarely, sometimes)",compavail,education,categorical,
enroll_home,HH with child who is home schooled,enroll2,education,binary,
enroll_school,HH with child enrolled in public or private school,enroll1,education,binary,
intrnt_family,Internet paid for by someone in the household or family,intrnt2,education,binary,
intrnt_family,Internet paid for by someone in the household or family,intrntrv2,education,binary,Pulse 3.1 only
intrnt_notathome,Internet service not available in the home,intrntrv4,education,binary,Pulse 3.1 only
intrnt_other,Internet paid for another source,intrnt3,education,binary,
intrnt_other,Internet paid for another source,intrntrv3,education,binary,Pulse 3.1 only
intrnt_school,Internet paid for by child's school or school district,intrntrv1,education,binary,Pulse 3.1 only
intrnt_school,Internet paid for by child's school or school district,intrnt1,education,binary,
intrntavail,Internet available for educational purposes,intrntavail,education,categorical,
intrntavail.binary,"Internet available for educational purposes (binary: always, usually  vs. never, rarely, sometimes)",intrntavail,education,categorical,
nocomp,"Never, rarely, or sometimes had computer access AND/OR internet access",compavail & intrntavail,education,binary,
ps_cancelchange,Adults with higher eduction plans canceled or changed due to COVID,"tnum_ps, ps_chng_*",education,binary,ended Phase 3.5
ps_chng_cancel,Changes to post-secondary education plans: plans for classes this term cancelled,pschng2,education,binary,ended Phase 3.5
ps_chng_diffcert,Changes to post-secondary education plans: taking classes for different kind of certificate or degree,pschng7,education,binary,ended Phase 3.5
ps_chng_diffsch,Changes to post-secondary education plans: taking classes at a different institution,pschng6,education,binary,ended Phase 3.5
ps_chng_fewer,Changes to post-secondary education plans: taking fewer classes,pschng4,education,binary,ended Phase 3.5
ps_chng_format,"Changes to post-secondary education plans: classes are in a different format (e.g., online)",pschng3,education,binary,ended Phase 3.5
ps_chng_more,Changes to post-secondary education plans: taking more classes,pschng5,education,binary,ended Phase 3.5
ps_chng_none,Changes to post-secondary education plans: no changes,pschng1,education,binary,ended Phase 3.5
ps_why_campuslife,Reason post-secondary plans changed: changes to campus life,pswhychg6,education,binary,ended Phase 3.5
ps_why_chngaid,Reason post-secondary plans changed: changes to financial aid,pswhychg5,education,binary,ended Phase 3.5
ps_why_chngcontent,Reason post-secondary plans changed: institution changed content or class format,pswhychg4,education,binary,ended Phase 3.5
